,Geschlecht,Ihr Alter in Jahren:,Wie häufig machen Sie in der Woche Sport?,Welche Sportarten machen Sie? (mehrere Antworten möglich),"Haben Sie schonmal Sport-Apps genutzt? (Z.B. Apple Sports, Adidas Running App, Komoot, Nike Training Club, Freeletics, Urban Sports Club, Stava, etc.)  ",Wie oft benutzen Sie eine Sport-App?  ,Wofür benutzen Sie Sport-Apps? (mehrere Antworten möglich)  ,"Glauben Sie, dass Sie Ihre Sportlichen Ziele durch Benutzung einer Sport-App effizienter erreichen können? ","Motiviert es Sie, wenn Sie Ihre Leistungen mit denen Ihrer Freunde vergleichen?  ",Amotivation,External Regulation,Introjected Regulation,Identified Regulation,Integrated Regulation,Intrinsic Motivation
58,Männlich,23,Jeden Tag,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Schwimmen, Fitness-Kurse, Tanzen",Ja,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen",Ja,Nein,1.75,2.0,4.5,4.0,4.75,4.0
59,Weiblich,28,1-2 mal die Woche,Yoga,Nein,Nie,Verwende keine,Ja,Nein,3.0,2.25,3.5,2.5,3.5,2.75
60,Männlich,24,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Schwimmen, Wandern",Ja,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um motivierter zu sein beim Sport",Ja,Ja,1.25,1.5,4.0,2.75,3.5,3.75
61,Weiblich,24,3-4 mal die Woche,"Joggen, Kraftsport, Schwimmen, Fitness-Kurse",Ja,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um Kurse zu Buchen",Ja,Nein,1.5,2.5,4.25,3.0,4.25,2.75
62,Weiblich,23,3-4 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Fitness-Kurse, Tanzen",Ja,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Kurse anzuschauen",Ja,Nein,2.25,3.25,5.0,4.0,4.75,3.75
63,Weiblich,22,1-2 mal die Woche,Joggen,Ja,Bei jedem Training,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Nein,2.0,3.0,3.0,3.0,3.75,3.5
64,Weiblich,39,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Ja,1.75,1.5,4.25,3.0,4.25,4.75
65,Männlich,24,1-2 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Schwimmen",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um Kurse zu Buchen",Nein,Nein,2.25,1.25,3.75,3.5,4.5,4.5
66,Keine Angabe,25,3-4 mal die Woche,"Kraftsport, Sportklettern",Ja,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Nein,Nein,2.0,1.75,3.25,3.5,2.25,3.25
67,Weiblich,25,3-4 mal die Woche,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Ja,1.75,2.5,3.25,4.0,4.5,4.0
